paired: the stale /tmp/rabadon-501.sock (no listener since 24 Aug) vs no socket at all
rep   stale-sock   no-sock      A-B
1     2859.8       2687.4       +172.4
2     3058.7       2667.4       +391.3
3     3318.0       1713.1       +1604.9
4     4772.6       3280.5       +1492.1
5     4625.8       3667.4       +958.4
6     3039.3       3771.4       -732.1
7     3833.3       2643.8       +1189.5
8     3530.7       2647.5       +883.2
9     2233.9       4323.3       -2089.4
10    3128.2       3533.0       -404.8
11    3006.9       2990.9       +16.0
12    4134.6       3283.3       +851.3
